No.,True/False,Evidence,Alert Name,Description,Host,Alert Timestamp
1,False,"At 11:42:24 on Jun 13 2025 logrotate executed to rotate /var/log/audit/audit.log as part of a scheduled daily cron job. The parent process chain run-parts -> logrotate -> dash is a normal cron execution pattern. The command /bin/sh /etc/cron.daily/logrotate confirms this is a scheduled daily cron job. No interactive terminal (tty: none) is expected for cron jobs. This is not indicative of any malicious behavior and is therefore a false positive.",Suspicious Shell Execution by logrotate,"A shell (dash) executed on WEB01 with no interactive session, triggered by logrotate. This behavior resembles suspicious privilege escalation or remote code execution attempts.",WEB01,"Jun 13, 2025 @ 11:43:00.000"
2,True,"At 11:43:03 an outbound TCP connection was established from /usr/sbin/php-fpm8.1 running as www-data to external IP 198.143.164.252 on port 443. PHP-FPM should not normally initiate outbound connections unless explicitly coded to do so. This behavior warrants further investigation to determine if a web shell or malicious plugin is responsible for the outbound connection.",Outbound Connection by Web Server User,"The web server user (www-data) on WEB01 established an outbound network connection to IP address 198.143.164.252. While this may be part of legitimate operations (e.g., plugin updates or telemetry), outbound connections initiated directly by the www-data user can also indicate post-exploitation activity such as remote access or data exfiltration via web shell.",WEB01,"Jun 13, 2025 @ 11:44:00.000"
3,True,"Between 11:58:00 and 12:00:35 the www-data user executed the /usr/bin/id binary from the /var/www/luminex.htb/wp-content/plugins/canto/includes/lib directory via a web shell. The www-data user should not be an active user running commands especially from within a plugin directory. The Canto plugin directory is the likely initial access vector. This incident should be investigated further.",Suspicious Command Execution on Web Server,"A shell command (id) was executed on the WEB01 server via /usr/bin/dash from within a WordPress plugin directory, suggesting post-compromise activity.",WEB01,"Jun 13, 2025 @ 12:00:00.000"
4,True,"Between 11:58:00 and 12:00:34 php-fpm initiated multiple outbound TCP connections to 10.10.16.14 on uncommon ports including 1337 consistent with C2 callback behavior following exploitation of the Canto plugin. At 12:00:34 a successful SSH login was recorded for user cameron from the same IP (10.10.16.14) using public key authentication indicating the attacker had previously exfiltrated cameron's SSH private key via LFI and used the reverse shell to establish more stable access.",Anomalous Outbound Connections from Web Server,The WEB01 web server has initiated outbound connections to a single IP address (10.10.16.14) over multiple uncommon TCP ports within a short time frame. This pattern is indicative of potential command-and-control (C2) activity or data exfiltration.,WEB01,"Jun 13, 2025 @ 12:00:00.000"
5,True,"Between 11:58:34 and 12:00:07 the www-data user executed sh -c cat /etc/passwd followed by sh -c ls -la /home/cameron/.ssh and sh -c ls -la /home/cameron/.ssh/id_rsa from the Canto plugin directory. These commands were executed via sh -c through a web shell indicating post-exploitation reconnaissance. The specific targeting of cameron's SSH private key file confirms intent to exfiltrate credentials for lateral movement which is corroborated by the successful SSH login as cameron at 12:00:34.",Suspicious Reconnaissance Activity,"Multiple enumeration-related commands (cat /etc/passwd, ls -la /home/cameron, etc.) were executed within a short timeframe on WEB01. This activity is consistent with system enumeration behavior, which may be part of routine administrative tasks, but it may also indicate post-compromise reconnaissance aimed at identifying users, credentials, or sensitive files.",WEB01,"Jun 13, 2025 @ 12:00:00.000"
6,True,"Between 11:59:53 and 12:00:17 the www-data user executed sh -c ls -la /home/cameron/.ssh followed by sh -c cat /home/cameron/.ssh/id_rsa from the Canto plugin directory. This sequence confirms deliberate SSH private key exfiltration. Since the attacker already had web shell access to WEB01 the key theft was intended for lateral movement to other machines in the network consistent with the subsequent SSH login observed at 12:00:34 from the attacker's IP.",Suspicious Access to SSH Directory,A shell command was executed attempting to access the .ssh directory of another local user on WEB01. This behavior is consistent with post-compromise reconnaissance aimed at identifying and potentially exfiltrating SSH private keys for privilege escalation or lateral movement.,WEB01,"Jun 13, 2025 @ 12:00:00.000"
7,True,"At 12:01:26 the cameron user executed cat .bash_history from /home/cameron via an interactive bash session (TerminalSessionId: 27). This confirms the attacker upgraded from a web shell to a proper interactive SSH session using the stolen private key. The reading of .bash_history is a standard post-exploitation enumeration technique used to identify previously run commands credentials or sensitive information to aid in privilege escalation.",Suspicious Access to User Shell History File,"A process accessed or read a .bash_history file on WEB01, which contains a history of user shell commands. While system administrators may access this file during routine troubleshooting, it is also a common step in post-exploitation to gather sensitive data, understand prior user activity, or identify useful commands and credentials. This activity could indicate local reconnaissance or manual privilege escalation attempts, particularly when performed by a user or process not normally associated with interactive shell use.",WEB01,"Jun 13, 2025 @ 12:02:00.000"
8,True,"At 12:09:20 the cameron user executed chmod +x pspy8Jsn73Bsj2001sKKis from the /tmp directory via an interactive SSH session (TerminalSessionId: 27). The filename prefix pspy identifies this as the pspy process monitoring tool commonly used in post-exploitation to enumerate running processes and scheduled tasks for privilege escalation opportunities. The tool was renamed with a random suffix likely to evade detection.",Executable Permissions Assigned in /tmp Directory,"Files in the /tmp directory of WEB01 were modified to include executable permissions. The /tmp directory is often used for staging files, including malicious scripts or binaries. Changing permissions to make these files executable is a common technique in post-exploitation, lateral movement, or privilege escalation workflows. While some legitimate scripts use /tmp, such behavior — particularly outside of automation or system services — can indicate suspicious activity.",WEB01,"Jun 13, 2025 @ 12:10:00.000"
9,True,"At 12:10:22 the cameron user executed sudo -l from the /tmp directory via an interactive SSH session (TerminalSessionId: 27). This occurred approximately one minute after deploying the pspy process monitoring tool indicating a systematic privilege escalation enumeration workflow. The sudo -l command was used to identify any misconfigured sudo permissions that could be exploited to escalate to root. This activity is consistent with post-exploitation behavior following initial access via stolen SSH key from 10.10.16.14.",Possible Privilege Escalation Attempt,"A user executed sudo -l on WEB01, which lists the commands that can be run via sudo on the host. This command is often used during manual privilege escalation attempts to discover misconfigurations or exploitable sudo rights (e.g., NOPASSWD commands or script-based escalation). While administrators may use sudo -l for legitimate diagnostics, its appearance outside of interactive terminal sessions — or from non-administrator users — is a substantial signal of post-exploitation activity.",WEB01,"Jun 13, 2025 @ 12:11:00.000"
10,True,"Between 12:29:41 and 12:35:43 the teamcity user executed whoami and cat .bash_history from /home/teamcity and /tmp via interactive sessions consistent with post-exploitation enumeration following lateral movement from WEB01. At 12:55:38 root executed an extensive grep pattern against the bash history file searching for credentials tokens API keys and privilege escalation indicators confirming successful privilege escalation occurred between these events.",Suspicious Reconnaissance Activity,"Multiple enumeration-related commands (cat .bash_history, whoami, etc.) were executed within a short timeframe on NIX01. This activity is consistent with system enumeration behavior, which may be part of routine administrative tasks, but it may also indicate post-compromise reconnaissance aimed at identifying users, credentials, or sensitive files.",NIX01,"Jun 13, 2025 @ 12:32:00.000"
11,True,"At 12:31:41 the teamcity user triggered snap advise-snap --format=json --command sudo-l from /home/teamcity via an interactive session (TerminalSessionId: 9). This is a side effect of the attacker executing sudo -l on NIX01 as Ubuntu's shell automatically invokes snap to check for packages when commands are not found. The parent process being python3 suggests the attacker gained access via the TeamCity application. This activity follows the compromise of WEB01 indicating successful lateral movement to NIX01.",Possible Privilege Escalation Attempt,"A user executed sudo -l on NIX01, which lists the commands that can be run via sudo on the host. This command is often used during manual privilege escalation attempts to discover misconfigurations or exploitable sudo rights (e.g., NOPASSWD commands or script-based escalation). While administrators may use sudo -l for legitimate diagnostics, its appearance outside of interactive terminal sessions — or from non-administrator users — is a substantial signal of post-exploitation activity.",NIX01,"Jun 13, 2025 @ 12:32:00.000"
12,True,"Between 12:34:17 and 12:35:29 the teamcity user executed chmod +x on both pspy8Jsn73Bsj2001sKKis and linpeas8Jsn73Bsj2001sKKis from the /tmp directory via an interactive bash session (TerminalSessionId: 9). Both tools were renamed with the identical random suffix 8Jsn73Bsj2001sKKis previously observed on WEB01 confirming the same attacker operating across both machines. pspy is used to enumerate running processes and cron jobs while linpeas automates privilege escalation enumeration.",Executable Permissions Assigned in /tmp Directory,"Multiple files in the /tmp directory of NIX01 were modified to include executable permissions. The /tmp directory is often used for staging files, including malicious scripts or binaries. Changing permissions to make these files executable is a common technique in post-exploitation, lateral movement, or privilege escalation workflows. While some legitimate scripts use /tmp, such behavior — particularly outside of automation or system services — can indicate suspicious activity.",NIX01,"Jun 13, 2025 @ 12:36:00.000"
13,True,"At 12:37:02 the teamcity user executed multiple curl commands to 34.200.177.28 on port 443 an IP associated with Amazon AWS infrastructure. This activity occurred immediately after staging pspy and linpeas in /tmp suggesting the attacker was downloading additional tools or payloads. Port 443 was used to blend the traffic with legitimate HTTPS traffic in an attempt to evade network-based detection. This is consistent with a post-exploitation tool staging pattern observed across both WEB01 and NIX01.",Suspicious Command Execution by Web Server User to External Cloud IP,"The web server user (teamcity) on NIX01 executed a command making an outbound connection to IP address 34.200.177.28, which is associated with Amazon AWS infrastructure. While this may be related to legitimate CI/CD activity such as artifact downloads or telemetry, such behavior can also indicate potential misuse of the TeamCity agent for data exfiltration or command-and-control communication.",NIX01,"Jun 13, 2025 @ 12:38:00.000"
14,True,"At 12:38:10 the teamcity user executed a grep command from /tmp containing an extensive list of sensitive file types and directories including .gnupg .kube .ssh .key .pem and .vault-token. This pattern is a known signature of the linpeas privilege escalation enumeration script which was staged in /tmp minutes earlier. The command was designed to locate credentials certificates and sensitive configuration files that could be leveraged for further privilege escalation or lateral movement.",Suspicious Command Execution on Web Server,"The web server user (teamcity) on NIX01 listed the contents of its .gnupg directory, which stores GPG private/public keys and trust settings, suggesting post-compromise activity.",NIX01,"Jun 13, 2025 @ 12:40:00.000"
15,False,"At 12:39:43 the df -k /home/teamcity/.BuildServer/system command was executed from /opt/TeamCity/bin with no interactive terminal session (TerminalSessionId: 4294967295) and no identifiable parent process indicating it was spawned by the TeamCity service itself rather than an attacker. This command checks available disk space on the TeamCity build server directory which is routine behavior for the TeamCity application. This is a False Positive.",Suspicious Command Execution on Web Server,"A shell command (df -k /home/teamcity/.BuildServer/system) was executed on the NIX01 by the web server user (teamcity), suggesting post-compromise activity.",NIX01,"Jun 13, 2025 @ 12:42:00.000"
16,True,"At 12:50:40 the teamcity user executed bash compile.sh from /tmp/CVE-2022-0847-DirtyPipe-Exploits via the same interactive session (TerminalSessionId: 9) used throughout the attack chain. CVE-2022-0847 known as DirtyPipe is a Linux kernel vulnerability affecting versions 5.8 through 5.16 that allows unprivileged users to write to read-only files enabling privilege escalation to root. The kernel version on NIX01 (5.13.0-051300-generic) falls within the vulnerable range. The attacker compiled the exploit from source indicating deliberate and targeted privilege escalation activity.",Potential Privilege Escalation Attempt,"A bash script (compile.sh) was executed on NIX01 from a directory named /tmp/CVE-2022-0847-DirtyPipe-Exploits, which is strongly associated with public exploit code for the DirtyPipe vulnerability (CVE-2022-0847). This may indicate an active local privilege escalation attempt.",NIX01,"Jun 13, 2025 @ 12:51:00.000"
17,False,"At 11:32:33 the snapd daemon (/snap/snapd/24505/usr/lib/snapd/snapd) made outbound connections to 185.125.188.57 on port 443 a known Canonical snap store IP address. This behavior is consistent with routine snap package update checks performed by the snapd service. The process is the legitimate snapd binary running as root as expected and the activity occurred approximately 90 minutes before any confirmed attacker activity on NIX02. This is a False Positive.",Multiple Outgoing Communications by Snapd,"Multiple outgoing network connections to IP address 185.125.188.57 have been observed on NIX02 from the process snapd. While this may be part of legitimate operations (e.g., snap package management or updates.), attackers might hijack or mimic snapd's update mechanisms to evade network filtering.",NIX02,"Jun 13, 2025 @ 11:33:00.000"
18,True,"Between 13:08:56 and 13:09:45 multiple inbound IMAP connections were observed on NIX02's Dovecot imap-login service (port 993) originating from 10.10.16.14 the same attacker IP identified throughout the attack chain on WEB01 and NIX01. The rapid succession of connections from different source ports across a short timeframe is consistent with automated credential stuffing or brute force activity. This likely represents the attacker attempting to gain mail server access using credentials harvested from previously compromised hosts including the employee database found on NIX01.",Suspicious IMAP Login Failures (Potential Brute Force Attempt),"Multiple failed IMAP login attempts were observed on NIX02. This pattern is consistent with an IMAP brute-force attack, where an attacker attempts to guess passwords to gain unauthorized access to email accounts. Such activity is often a precursor to email compromise, lateral movement, or credential harvesting.",NIX02,"Jun 13, 2025 @ 13:10:00.000"
19,True,"At 13:12:50 the marc user read .email-backup.sh from /home/marc via an interactive session (TerminalSessionId: 6) likely to understand its contents before modifying it. At 13:13:38 the attacker executed /bin/sudo /home/marc/.email-backup.sh as marc from the same interactive session indicating marc had NOPASSWD sudo rights for that specific script. This is a misconfigured sudo permission that the attacker exploited to escalate to root confirmed by the subsequent execution of the script as root (LogonId: 0). At 13:20 root was observed running ls -l /home/marc/.email-backup.sh from /tmp consistent with post-exploitation verification of the privilege escalation path.",Automation Script Executed with Elevated Privileges,"A script typically associated with automation activity (email-backup.sh) was detected executing under the root user context on NIX02. This behavior deviates from its usual pattern of running as a standard or service-level user, and may indicate privilege escalation, credential abuse, misconfigured or hijacked automation process, or persistence via cron/systemd/sudo misuse.",NIX02,"Jun 13, 2025 @ 13:14:00.000"
